etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker,name_normalized_old
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Erste Group Bank AG,"3,060","68,389",,,erste bank,EBS,ERSTE GROUP BANK AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Raiffeisen Bank International AG,"3,461","59,548",,,raiffeisen bank international,RAW0.SG,RAIFFEISEN BANK INTERNATIONAL AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Austria — 0.1%,Verbund AG,"5,100","2,68,609","3,96,546",,verbund,VER,VERBUND AG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Anheuser-Busch InBev SA/NV,"6,528","3,56,017",,,anheuser busch inbev,ABI,ANHEUSER-BUSCH INBEV SA/NV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Elia Group SA/NV,816,"88,965",,,elia,ELI,ELIA GROUP SA/NV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Galapagos NV,408,"76,036",,,galapagos,GLPG,GALAPAGOS NV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Groupe Bruxelles Lambert SA,"1,235","1,07,660",,,groupe bruxelles lambert,GBLB,GROUPE BRUXELLES LAMBERT SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,UCB SA,748,"96,279",,,ucb,UCB,UCB SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Belgium — 0.2%,Umicore SA,"3,128","1,47,732","8,72,689",,umicore,UMICY,UMICORE SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Ambev SA,"61,201","1,63,413",,,ambev,ABEVN.MX,AMBEV SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,"B3 SA - Brasil, Bolsa, Balcao","27,200","3,31,470",,,b3 brasil bolsa balcao,B3SA3,"B3 SA - BRASIL, BOLSA, BALCAO"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Banco Bradesco SA,"1,651","6,574",,,banco bradesco,BBDC3,BANCO BRADESCO SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Banco do Brasil SA,"13,600","87,727",,,banco do brasil,BBAS3,BANCO DO BRASIL SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,BB Seguridade Participacoes SA,"13,600","72,705",,,bb seguridade participacoes,BBSEY,BB SEGURIDADE PARTICIPACOES SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,CCR SA,"34,000","97,706",,,ccr,CCRSA,CCR SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Cielo SA,"27,236","28,095",,,cielo,CIELO,CIELO SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Cogna Educacao,"20,900","33,242",,,cogna educacao,COGNY,COGNA EDUCACAO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Localiza Rent a Car SA,"14,350","1,40,363",,,localiza rent a car,RENT3,LOCALIZA RENT A CAR SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Lojas Renner SA,"13,650","1,07,846",,,lojas renner,LREN3.BA,LOJAS RENNER SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Magazine Luiza SA,"6,800","1,05,426",,,magazine luiza,MGLUY,MAGAZINE LUIZA SA
