etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Canadian National Railway Co.,"6,864","6,52,972",,,CANADIAN NATIONAL RAILWAY CO.,CNR.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Canadian Pacific Railway Ltd.,"1,014","2,43,324",,,CANADIAN PACIFIC RAILWAY LTD.,CANAD2
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,"Canadian Tire Corp. Ltd., Class A, NVS",936,"1,02,720",,,"CANADIAN TIRE CORP. LTD., CLASS A, NVS",YAAA.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Canopy Growth Corp. (a)(b),"2,418","79,676",,,CANOPY GROWTH CORP. (A)(B),CANOP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,"CCL Industries Inc., Class B, NVS","4,602","2,31,300",,,"CCL INDUSTRIES INC., CLASS B, NVS",1C9A.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,CGI Inc.,"2,106","1,62,912",,,CGI INC.,GIB
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Constellation Software Inc./Canada,312,"2,98,348",,,CONSTELLATION SOFTWARE INC./CANADA,CONST
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Dollarama Inc.,"5,382","2,00,419",,,DOLLARAMA INC.,DR3.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Enbridge Inc.,"19,665","6,60,117",,,ENBRIDGE INC.,ENB
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Fairfax Financial Holdings Ltd.,468,"2,17,918",,,FAIRFAX FINANCIAL HOLDINGS LTD.,FRFHF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,First Quantum Minerals Ltd.,"32,682","3,02,641",,,FIRST QUANTUM MINERALS LTD.,FQVLF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Franco-Nevada Corp.,"4,758","4,15,598",,,FRANCO-NEVADA CORP.,3FO.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,George Weston Ltd.,"3,432","2,72,804",,,GEORGE WESTON LTD.,WX5.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Hydro One Ltd.,"28,704","5,09,531",,,HYDRO ONE LTD.,8H1.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Intact Financial Corp.,"1,170","1,09,609",,,INTACT FINANCIAL CORP.,I5U.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Loblaw Companies Ltd.,"2,418","1,26,097",,,LOBLAW COMPANIES LTD.,L8G.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Lundin Mining Corp.,"61,308","2,98,335",,,LUNDIN MINING CORP.,LUN.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Manulife Financial Corp.,"17,394","3,16,580",,,MANULIFE FINANCIAL CORP.,MLU.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Metro Inc.,"4,758","1,87,037",,,METRO INC.,MRU.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,National Bank of Canada,"1,638","79,683",,,NATIONAL BANK OF CANADA,NA.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Nutrien Ltd.,"5,382","2,96,570",,,NUTRIEN LTD.,NTR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Pembina Pipeline Corp.,"28,158","10,26,910",,,PEMBINA PIPELINE CORP.,PBA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,PrairieSky Royalty Ltd.,"45,630","6,14,354",,,PRAIRIESKY ROYALTY LTD.,PREKF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Restaurant Brands International Inc.,"3,900","2,88,680",,,RESTAURANT BRANDS INTERNATIONAL INC.,QSR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,RioCan REIT,"6,708","1,32,919",,,RIOCAN REIT,RIOCA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,"Rogers Communications Inc., Class B, NVS","4,368","2,27,888",,,"ROGERS COMMUNICATIONS INC., CLASS B, NVS",RCI-B.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Royal Bank of Canada,"14,976","11,88,591",,,ROYAL BANK OF CANADA,RY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,"Shaw Communications Inc., Class B, NVS","4,680","92,199",,,"SHAW COMMUNICATIONS INC., CLASS B, NVS",SHAWC2
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,"Shopify Inc., Class A",702,"2,24,213",,,"SHOPIFY INC., CLASS A",SHOP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,SNC-Lavalin Group Inc.,"9,594","1,52,551",,,SNC-LAVALIN GROUP INC.,SNCLA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Stars Group Inc. (The) (a)(b),"6,318","98,825",,,STARS GROUP INC. (THE) (A)(B),STARS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Sun Life Financial Inc.,"4,602","1,92,190",,,SUN LIFE FINANCIAL INC.,SLF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,TELUS Corp.,"2,340","84,537",,,TELUS CORP.,T.NE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Thomson Reuters Corp.,"3,432","2,31,666",,,THOMSON REUTERS CORP.,TRI
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Toronto-Dominion Bank (The),"18,843","11,07,061",,,TORONTO-DOMINION BANK (THE),TD
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,Wheaton Precious Metals Corp.,"19,188","5,04,121",,,WHEATON PRECIOUS METALS CORP.,WPM
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Canada — 3.3%,WSP Global Inc.,"2,340","1,32,650","1,56,71,655",,WSP GLOBAL INC.,1W3.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Chile — 0.1%,"Aguas Andinas SA, Class A","2,92,812","1,64,596",,,"AGUAS ANDINAS SA, CLASS A",AGUAS3
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,Chile — 0.1%,SACI Falabella,"12,990","80,608","2,45,204",,SACI FALABELLA,SACIF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Agricultural Bank of China Ltd., Class H","6,24,000","2,54,290",,,"AGRICULTURAL BANK OF CHINA LTD., CLASS H",EK7.DU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Alibaba Group Holding Ltd., ADR","15,444","26,73,511",,,"ALIBABA GROUP HOLDING LTD., ADR",AHL1.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"Baidu Inc., ADR","2,730","3,04,941",,,"BAIDU INC., ADR",BIDU
