etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Brazil — 0.6%,Localiza Rent a Car SA,"9,000","56,899",,,LOCALIZA RENT A CAR,LZRFY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Brazil — 0.6%,Lojas Renner SA,"9,000","73,981",,,LOJAS RENNER,LREN3.BA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Brazil — 0.6%,Suzano Papel e Celulose SA,"9,000","1,06,731",,,SUZANO PAPEL E CELULOSE,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Brazil — 0.6%,Ultrapar Participacoes SA,"27,001","2,92,173",,,ULTRAPAR PARTICIPACOES,UGR.BE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Brazil — 0.6%,Vale SA,"77,501","11,31,368","31,73,050",,VALE,CVLB.MU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Agnico Eagle Mines Ltd.,"6,750","2,82,546",,,AGNICO EAGLE MINES,AE9.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,"Alimentation Couche-Tard Inc., Class B","8,190","3,75,847",,,ALIMENTATION COUCHE TARD,ATD.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Bank of Montreal,"7,020","5,55,939",,,BANK OF MONTREAL,BMO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Bank of Nova Scotia (The),"18,180","10,76,418",,,BANK OF NOVA SCOTIA THE,BKN.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,BCE Inc.,"4,680","1,98,702",,,BCE,BCE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,BlackBerry Ltd.,"12,060","1,18,284",,,BLACKBERRY,BB.NE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,"Bombardier Inc., Class B","34,020","1,28,032",,,BOMBARDIER,BBD-B.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,"Brookfield Asset Management Inc., Class A","14,670","6,18,461",,,BROOKFIELD ASSET MANAGEMENT,BAM
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Cameco Corp.,"12,690","1,37,036",,,CAMECO,CCJ
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Canadian Imperial Bank of Commerce,"6,030","5,49,832",,,CANADIAN IMPERIAL BANK OF COMMERCE,CM
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Canadian National Railway Co.,"7,740","6,90,299",,,CANADIAN NATIONAL RAILWAY,CNI
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Canadian Pacific Railway Ltd.,810,"1,60,494",,,CANADIAN PACIFIC RAILWAY,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,"Canadian Tire Corp. Ltd., Class A, NVS",900,"1,22,468",,,CANADIAN TIRE NVS,YAAA.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,"CCL Industries Inc., Class B, NVS","4,140","2,09,862",,,CCL INDUSTRIES NVS,1C9.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,"CGI Group Inc., Class A","2,430","1,56,737",,,CGI,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Constellation Software Inc./Canada,270,"1,95,559",,,CONSTELLATION SOFTWARE CANADA,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Dollarama Inc.,"6,210","2,24,171",,,DOLLARAMA,DOL.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Enbridge Inc.,"22,689","8,05,094",,,ENBRIDGE,ENB
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Fairfax Financial Holdings Ltd.,630,"3,55,645",,,FAIRFAX FINANCIAL,FFH.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,First Quantum Minerals Ltd.,"32,400","5,04,912",,,FIRST QUANTUM MINERALS,FM.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Franco-Nevada Corp.,"6,390","4,68,306",,,FRANCO NEVADA,FNV
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,George Weston Ltd.,"5,220","4,33,877",,,GEORGE WESTON,WN.NE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Goldcorp Inc.,"18,000","2,24,793",,,GOLDCORP,MGIDF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Hydro One Ltd.,"37,440","5,46,359",,,HYDRO ONE,8H1.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Intact Financial Corp.,900,"68,599",,,INTACT FINANCIAL,IFC.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Canada — 3.4%,Loblaw Companies Ltd.,"2,880","1,52,140",,,LOBLAW COMPANIES,L8G.SG
