scenario,ETF_Ticker,TE_annual,TE_to_Budget,TE_coverage_wt,%Clean,%Controversial,%Other,#names,ActiveShare_%,%ActiveNames,MaxDeltaName,MaxDelta_%,ETF_AUM_USD,sector_dev__Cash and/or Derivatives,sector_dev__Communication,sector_dev__Consumer Discretionary,sector_dev__Consumer Staples,sector_dev__Energy,sector_dev__Financials,sector_dev__Health Care,sector_dev__Industrials,sector_dev__Information Technology,sector_dev__Materials,sector_dev__Real Estate,sector_dev__Utilities,region_dev__Other,region_dev__US,region_dev__Americas,region_dev__APAC,region_dev__Europe
Pragmatic Tilt,EMXF,0.001853510579951832,0.0926755289975916,0.2314,6.6240793532779225,6.2129294505741e-05,93.37585851742757,550,4.2980753001100895,95.84055459272098,2330,-0.6328131747244121,114181173.34,0.35942440034597595,-0.011976031971504264,0.01340314919576896,-0.04116876831906299,,-0.08685673338558741,0.0029446374670595576,-0.027846588602126188,-0.19978017575749962,-0.00972503937483743,0.0033203132773215044,-0.0017391628754918204,0.4549543574285164,0.3203018466615747,0.010895227117790895,-0.786151431207871,0.0
Pragmatic Tilt,DSI,0.019999976211614753,0.9999988105807376,0.6463,13.793307679743446,21.32612460290031,64.88056771735624,404,16.36176068750079,90.84507042253522,NVDA,-6.788618941901442,4922643873.61,0.0,0.0,0.0,-6.938893903907228e-16,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-16,0.0,0.0,0.0,0.0,,,
Pragmatic Tilt,SUSL,0.01999991818392198,0.999995909196099,0.6595999999999999,11.837040245107442,23.29475847487589,64.86820128001666,295,15.76995881841327,99.66216216216216,NVDA,-6.2291325449912085,991959261.12,0.00018082512506861163,0.010702587089997384,0.010702587089998772,0.005673388299028137,0.0018195528210029899,0.01465813670087357,0.011776236270093221,-0.10579399973546788,0.0437257755556586,0.002870598860464299,0.002418536047792824,0.001265775875480303,0.0,-2.2603140648058684e-05,,,2.2603140633576453e-05
Pragmatic Tilt,LCTD,0.008025078795103906,0.4012539397551953,0.3438,10.96915728636587,0.0005006644246309012,89.0303420492095,388,25.112316458022754,97.24310776942356,TTE,2.745719686810857,268223146.42,0.20339535658149693,-0.0985397443150432,0.22061400950506294,-0.07830047014068947,-0.025932405910078504,-0.506448653233138,0.11053888558347907,0.34306115884285004,-0.05299800118935549,-0.21787978904153626,0.10758375030456499,-0.005094096987618216,-0.0036564598621093014,-0.040608864832214486,-0.07312919724218603,-0.12520604982374228,0.24260057176024308
Pragmatic Tilt,LCTU,0.01696330998845113,0.8481654994225565,0.5921,24.159072484530935,2.8583489766613632,72.9825785388077,306,30.961959018403075,96.22641509433963,MSFT,-5.7298982726888985,1333819124.64,0.0003835071320691316,-0.05141204642690328,0.007393165268221313,0.0035580939475289564,0.002073779306743795,-0.0036425329767858505,0.006533825213028699,0.006910230361169278,0.022839980309891095,0.0017115781264561564,0.001789699949655485,0.0018607197889274757,2.130595178160698e-05,-0.00012783571068375466,2.8407935708814726e-05,,7.812182319926354e-05
Pragmatic Tilt,DMXF,0.0025395018133254105,0.12697509066627052,0.3131,6.349914006163155,0.00015936538469606959,93.64992662845214,459,10.294109068709343,97.2457627118644,REL,-1.109983515579853,889247652.85,0.0013305582899917484,0.11018375988723628,-0.0045964477204042675,0.029270857138342238,,0.1420478853155549,-0.15559014625264878,-0.18638525382830562,0.028319549694391655,-0.037743006634177734,0.08293644863929944,-0.009774204529291921,-3.469446951953614e-16,-1.3877787807814457e-15,,-5.551115123125783e-15,-1.1102230246251565e-14
Pragmatic Tilt,XVV,0.019999709244122303,0.9999854622061152,0.6240000000000001,22.404254054959125,3.538218880847907,74.05752706419297,470,32.44384675588754,99.78768577494692,MSFT,-7.291757994454624,440113837.76,-0.0004161796248021866,-0.0141627187470586,-0.014023992205457192,-0.005397723618646988,-0.0012107043630610326,-0.01891725567282898,-0.011955705585228737,0.1196201133711966,-0.04644816842868105,-0.0026862503055415793,-0.0027114733131054086,-0.0016899415067725757,0.0,0.0,,,
Pragmatic Tilt,USXF,0.031055952637331453,1.5527976318665726,0.48679999999999995,14.11385449186035,8.570478352462874,77.31566715567678,327,12.485729585006693,21.580547112462007,NVDA,-12.485729585006693,1291850247.42,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Pragmatic Tilt,ESGU,0.019076190160188144,0.9538095080094072,0.6098000000000001,20.765346604172727,0.0008342804280751816,79.2338191153992,311,37.01061959391537,98.07692307692308,MSFT,-6.769877514397643,14432830146.4,-4.336808689942018e-17,-2.7755575615628914e-15,-2.7755575615628914e-15,-1.3877787807814457e-15,-1.3877787807814457e-15,-2.7755575615628914e-15,-1.3877787807814457e-15,-1.3877787807814457e-15,-5.551115123125783e-15,-3.469446951953614e-16,0.0,-6.938893903907228e-16,0.0,0.0,,,
Pragmatic Tilt,PABD,0.004234888008991138,0.2117444004495569,0.31239999999999996,8.437400198755565,0.11190845659982973,91.45069134464461,488,12.28674004632043,97.6,HSBA,-1.1199811295837707,235947165.54,0.023513978241234985,0.0556869262331422,0.23357186892091902,-0.15449613654809694,-0.015716621110575466,-0.47498830562249794,0.2792236829357475,0.01117527998783785,-0.053312226632454274,-0.20897693749165405,0.3954466313629182,-0.09112814027650643,-0.006841048817534095,-0.06746034250623978,-0.14014648619253833,-0.21397280468176127,0.42842068219809404
Pragmatic Tilt,ESGD,0.007693083385689398,0.3846541692844699,0.33599999999999997,7.563201085626263,0.0005093856189873909,92.43628952875476,422,29.754737716357937,96.57534246575342,TTE,1.3742283679219025,10731249448.45,0.009267050189530092,0.130494592594025,0.5679443199279279,-0.2914029120280548,-0.21028803333841342,-0.2540828097331971,-0.1260807244279294,0.12566319438368778,-0.0077951881291629666,0.0075054181606540316,0.03071801128384198,0.01805708111708229,-0.00019114060164880653,0.020896697776050244,,-0.0054122970361614176,-0.015293260138249387
