etf_ticker,etf_name,date,sector,security,shares,value,total_value,total+overall_value
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Xinyi Solar Holdings Ltd.,"9,80,000","2,92,168",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"Yanzhou Coal Mining Co. Ltd., Class H","1,84,000","2,12,626",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Yuzhou Properties Co. Ltd,"5,88,000","3,12,395",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,"YY Inc., ADR","4,508","3,44,547",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,China — 27.9%,Zhongsheng Group Holdings Ltd.,"1,47,000","3,22,509","9,19,76,505",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Colombia — 0.8%,Bancolombia SA,"27,440","2,94,633",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Colombia — 0.8%,Cementos Argos SA,"5,94,762","17,56,197",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Colombia — 0.8%,Grupo Argos SA/Colombia,"92,120","5,75,985","26,26,815",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Czech Republic — 0.4%,Komercni Banka AS,"27,930","11,67,581","11,67,581",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Egypt — 0.1%,Commercial International Bank Egypt SAE,"67,640","3,32,585","3,32,585",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Greece — 0.3%,Hellenic Telecommunications Organization SA,"70,952","9,07,253","9,07,253",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Hungary — 0.7%,MOL Hungarian Oil & Gas PLC,"2,35,298","24,09,623","24,09,623",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Asian Paints Ltd.,"1,01,430","19,62,709",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,"Axis Bank Ltd., GDR","42,728","19,46,260",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Bajaj Finance Ltd.,"18,228","7,34,144",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Bharat Petroleum Corp. Ltd.,"61,642","3,14,701",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Bharti Airtel Ltd.,"88,298","4,77,865",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Bharti Infratel Ltd.,"78,988","3,19,510",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Dabur India Ltd.,"2,51,566","16,98,063",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Eicher Motors Ltd.,882,"3,48,936",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,HCL Technologies Ltd.,"66,444","9,80,319",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Hindalco Industries Ltd.,"1,19,658","4,01,440",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Hindustan Unilever Ltd.,"93,100","23,36,615",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Housing Development Finance Corp. Ltd.,"1,07,604","29,37,079",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,"ICICI Bank Ltd., ADR","52,234","5,03,013",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Indiabulls Housing Finance Ltd.,"18,718","3,32,326",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Indian Oil Corp. Ltd.,"2,09,230","4,58,867",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,"Infosys Ltd., ADR, NVS","1,96,882","40,89,239",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,"Mahindra & Mahindra Ltd., GDR","1,26,714","16,97,968",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Marico Ltd.,"1,26,812","6,60,555",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Nestle India Ltd.,"5,978","9,76,207",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Piramal Enterprises Ltd.,"11,858","5,34,959",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,"Reliance Industries Ltd., GDR","61,348","21,22,641",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Rural Electrification Corp. Ltd.,"2,01,292","3,39,998",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Siemens Ltd.,"24,206","3,48,024",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Tata Consultancy Services Ltd.,"1,09,760","32,16,372",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Tech Mahindra Ltd.,"32,046","3,46,005",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Titan Co. Ltd.,"57,722","7,25,856",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,"Wipro Ltd., ADR, NVS","1,64,248","8,45,877",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,India — 10.0%,Yes Bank Ltd.,"2,99,782","14,51,862","3,31,07,410",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Astra International Tbk PT,"29,30,200","14,42,223",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Bank Central Asia Tbk PT,"1,76,400","2,96,994",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Bank Danamon Indonesia Tbk PT,"6,86,000","3,16,687",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Bank Mandiri Persero Tbk PT,"17,93,400","8,40,086",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Bank Rakyat Indonesia Persero Tbk PT,"28,91,000","6,24,126",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Indah Kiat Pulp & Paper Corp. Tbk PT,"2,45,000","3,17,685",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Kalbe Farma Tbk PT,"75,26,400","6,87,237",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,Unilever Indonesia Tbk PT,"1,07,800","3,20,912",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Indonesia — 1.8%,United Tractors Tbk PT,"4,01,800","9,38,352","57,84,302",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Astro Malaysia Holdings Bhd,"11,51,700","4,87,640",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Axiata Group Bhd,"2,94,000","3,43,400",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,CIMB Group Holdings Bhd,"5,19,400","7,69,716",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Malayan Banking Bhd,"1,76,400","4,27,532",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Maxis Bhd,"8,03,600","11,30,261",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Nestle Malaysia Bhd,"37,200","13,30,673",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Petronas Dagangan Bhd,"1,07,800","7,13,508",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Public Bank Bhd,"7,15,400","43,73,001",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Sime Darby Plantation Bhd,"7,44,800","9,71,439",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Telekom Malaysia Bhd,"3,82,200","3,07,843",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Malaysia — 3.4%,Top Glove Corp. Bhd,"1,42,800","3,87,101","1,12,42,114",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,Alsea SAB de CV,"1,30,400","4,64,163",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,Arca Continental SAB de CV,"1,60,950","9,89,581",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,"Cemex SAB de CV, CPO","13,42,600","9,50,047",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,"Coca-Cola Femsa SAB de CV, Series L, NVS","4,70,400","28,27,493",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,"Grupo Financiero Banorte SAB de CV, Series O","2,25,400","15,42,629",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,Industrias Penoles SAB de CV,"20,090","3,41,206",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,Infraestructura Energetica Nova SAB de CV,"1,50,600","6,99,736",,
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Mexico — 2.7%,"Kimberly-Clark de Mexico SAB de CV, Series A","5,97,815","10,49,275","88,64,130",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Peru — 0.1%,Credicorp Ltd.,"1,568","3,41,855","3,41,855",
ESGE,iShares MSCI Emerging Markets ESG Optimized ETF,31/08/18,Philippines — 0.5%,Aboitiz Equity Ventures Inc.,"2,90,080","2,89,982",,
