etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,"B3 SA - Brasil, Bolsa, Balcao","27,200","3,31,470",,,B3 BRASIL BOLSA BALCAO,BOLSY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Banco Bradesco SA,"1,651","6,574",,,BANCO BRADESCO,BBD
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Banco do Brasil SA,"13,600","87,727",,,BANCO DO BRASIL,BDORY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,BB Seguridade Participacoes SA,"13,600","72,705",,,BB SEGURIDADE PARTICIPACOES,BBSEY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,CCR SA,"34,000","97,706",,,CCR,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Cielo SA,"27,236","28,095",,,CIELO,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Cogna Educacao,"20,900","33,242",,,COGNA EDUCACAO,COGNY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Localiza Rent a Car SA,"14,350","1,40,363",,,LOCALIZA RENT A CAR,LZRFY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Lojas Renner SA,"13,650","1,07,846",,,LOJAS RENNER,LREN3.BA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Magazine Luiza SA,"6,800","1,05,426",,,MAGAZINE LUIZA,MGLUY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Brazil — 0.5%,Natura & Co. Holding SA,"13,600","1,22,891",,,NATURA HOLDING,NATU3.BA
