year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,obayashi,1802,Other,Other,0.03991149999999999,2,2
2017,2025,mtn,MTN,Other,Other,0.039056666666666656,2,3
2017,2025,ajinomoto,2802,Other,Other,0.039019,1,4
2017,2025,aspen pharmacare,APN,Other,Other,0.03889566666666666,1,3
2017,2025,genuine parts,GPC,Other,Other,0.03868200000000001,1,5
2017,2025,idex,IEX,Other,Other,0.038622,1,8
2017,2025,ono pharmaceutical,4528,Other,Other,0.038352,1,5
2017,2025,perrigo,PRGO,Other,Other,0.038221,1,1
2017,2025,sonoco products,SON,Clean,Clean,0.038115333333333334,1,3
2017,2025,keyera,KEY,Other,Controversial,0.037926,1,1
2017,2025,check point software technologies,CHKP,Other,Other,0.037797000000000004,1,5
2017,2025,leidos,LDOS,Controversial,Controversial,0.03703633333333334,1,3
2017,2025,synchrony financial,SYF,Other,Other,0.03702414285714285,1,7
2017,2025,henry schein,HSIC,Other,Other,0.036803666666666665,1,3
2017,2025,symrise,SY1,Other,Other,0.03514300000000001,1,2
2017,2025,lululemon athletica,LULU,Other,Other,0.034972,1,8
2017,2025,hankyu hanshin,9042,Other,Other,0.03487333333333335,1,3
2017,2025,nissin foods,2897,Controversial,Controversial,0.034678000000000014,1,2
2017,2025,japan tobacco,2914,Controversial,Controversial,0.033915,1,1
2017,2025,akamai technologies,AKAM,Other,Other,0.03373071428571428,1,7
2017,2025,sonic healthcare,SHL,Other,Other,0.033511,1,3
2017,2025,western digital,WDC,Other,Other,0.03313899999999999,1,6
2017,2025,hni,HNI,Other,Other,0.033067,1,2
2017,2025,whitbread,WTB,Other,Other,0.03262383333333334,2,3
2017,2025,hb fuller,FUL,Other,Other,0.031998,1,2
2017,2025,edenred,EDEN,Other,Other,0.031943,1,3
2017,2025,sodexo,SW,Other,Controversial,0.03150800000000001,1,2
2017,2025,banco santander,SAN,Clean,Clean,0.030945,2,4
2017,2025,anta sports products,2020,Other,Other,0.030896000000000007,1,2
2017,2025,union pacific,UNP,Other,Other,0.030859000000000025,2,6
2017,2025,barwa real estate,BRES,Other,Other,0.030318,1,1
2017,2025,resmed,RMD,Other,Other,0.029705666666666672,3,4
2017,2025,dollar tree,DLTR,Controversial,Controversial,0.02952066666666666,1,3
2017,2025,wynn resorts,WYNN,Other,Other,0.029451000000000005,1,2
2017,2025,t and d,8795,Other,Other,0.02919300000000001,2,2
2017,2025,experian,EXPN,Other,Other,0.02783683333333334,2,3
2017,2025,harley davidson,HOG,Other,Other,0.027746500000000007,2,3
2017,2025,associated british foods,ABF,Other,Controversial,0.026140999999999998,2,1
2017,2025,air lease,AL,Other,Other,0.025750000000000002,1,2
2017,2025,steelcase,SCS,Other,Other,0.024256,1,2
2017,2025,compass,CPG,Controversial,Controversial,0.023562500000000014,2,5
2017,2025,arcbest,ARCB,Other,Other,0.023196,1,2
2017,2025,boc hong kong,2388,Other,Other,0.023162000000000016,2,2
2017,2025,hongkong land,H78,Other,Other,0.022674000000000003,1,2
2017,2025,davita,DVA,Clean,Clean,0.02168,1,8
2017,2025,borgwarner,BWA,Other,Other,0.021600333333333332,2,3
2017,2025,komatsu,6301,Controversial,Controversial,0.021564500000000014,2,4
2017,2025,interface,TILE,Other,Other,0.021411999999999997,1,2
2017,2025,global payments,GPN,Other,Other,0.020279,1,5
2017,2025,apa,APA,Controversial,Controversial,0.018921999999999994,2,1
2017,2025,resona,8308,Other,Other,0.01847199999999999,2,3
2017,2025,invesco,IVZ,Other,Other,0.018185833333333346,2,3
2017,2025,united utilities,UU.,Other,Other,0.017787000000000025,2,1
2017,2025,samsung sds,18260,Other,Other,0.017784999999999995,1,1
2017,2025,rakuten,4755,Other,Other,0.017669999999999998,1,5
2017,2025,hilton worldwide,HLT,Other,Other,0.017609444444444428,3,9
2017,2025,intercontinental hotels,IHG,Other,Other,0.017153,1,2
2017,2025,tennant,TNC,Other,Other,0.017076,1,2
2017,2025,columbia sportswear,COLM,Other,Other,0.01668333333333333,1,3
2017,2025,brenntag,BNR,Other,Other,0.0153195,2,1
2017,2025,marks and spencer,MKS,Controversial,Controversial,0.015231500000000009,2,1
2017,2025,target,TGT,Controversial,Controversial,0.01497007142857143,2,7
2017,2025,mattel,MAT,Other,Other,0.014371249999999988,4,3
2017,2025,southern copper,SCCO,Other,Other,0.014190000000000008,1,1
2017,2025,banco bradesco,BBDC3,Other,Other,0.014160999999999993,2,1
2017,2025,ing groep,INGA,Controversial,Controversial,0.013861499999999971,2,5
2017,2025,kikkoman,2801,Other,Controversial,0.013107999999999995,1,2
2017,2025,legal and general,LGEN,Other,Other,0.012956333333333347,2,3
2017,2025,hikma pharmaceuticals,HIK,Other,Other,0.012750999999999998,1,1
2017,2025,bunzl,BNZL,Other,Other,0.012081999999999996,2,2
2017,2025,equifax,EFX,Other,Controversial,0.012011999999999995,1,5
2017,2025,motorola solutions,MSI,Controversial,Controversial,0.011156107142857141,4,7
2017,2025,minerals technologies,MTX,Other,Other,0.011129,1,2
2017,2025,randstad holding,RAND,Other,Other,0.0107055,2,1
2017,2025,canadian national railway,CNR,Clean,Clean,0.01047300000000001,1,2
2017,2025,wolverine world wide,WWW,Controversial,Controversial,0.009736999999999996,1,2
2017,2025,mitsubishi electric,6503,Controversial,Controversial,0.008752499999999996,2,2
2017,2025,genting singapore,G13,Other,Other,0.008380333333333333,1,3
