ETF_TICKER,year,screen,pct_weight
LCTU,2023,deforestation,12.17504936525148
LCTU,2023,fossil_fuel,7.9400602382018075
LCTU,2023,prison,14.771217443136523
LCTU,2023,tobacco,0.8879510266385309
LCTU,2023,weapons,1.4321970429659112
LCTU,2024,deforestation,11.947722761045544
LCTU,2024,fossil_fuel,7.843203843135922
LCTU,2024,prison,14.867072702658543
LCTU,2024,tobacco,1.1562199768756003
LCTU,2024,weapons,1.7117359657652802
LCTU,2025,deforestation,11.117776444711057
LCTU,2025,fossil_fuel,8.758248350329934
LCTU,2025,prison,12.007598480303939
LCTU,2025,tobacco,0.2599480103979204
LCTU,2025,weapons,4.599080183963207
PABD,2024,deforestation,10.466783705543014
PABD,2024,fossil_fuel,1.2624666945235223
PABD,2024,prison,0.7562665400081565
PABD,2024,tobacco,0.5643047459865586
PABD,2024,weapons,0.897068917660946
PABD,2025,deforestation,9.83573717948718
PABD,2025,fossil_fuel,0.49078525641025644
PABD,2025,prison,0.5108173076923077
PABD,2025,tobacco,0.8914262820512822
PABD,2025,weapons,1.5024038461538465
PABU,2022,deforestation,9.86430130949891
PABU,2022,fossil_fuel,0.397817972152742
PABU,2022,prison,13.547293051689484
PABU,2022,tobacco,0.9442159339048846
PABU,2022,weapons,1.3346349065755565
PABU,2023,deforestation,9.370214156680726
PABU,2023,fossil_fuel,1.1982688921557996
PABU,2023,prison,13.997006740269393
PABU,2023,tobacco,0.7612499314875062
PABU,2023,weapons,1.1134578997887892
PABU,2024,deforestation,9.510034000000001
PABU,2024,fossil_fuel,1.2869789999999999
PABU,2024,prison,14.459231
PABU,2024,tobacco,0.784629
PABU,2024,weapons,0.979793
PABU,2025,deforestation,7.513005202080832
PABU,2025,fossil_fuel,1.1404561824729893
PABU,2025,prison,16.28651460584234
PABU,2025,tobacco,0.0
PABU,2025,weapons,0.5502200880352142
SDG,2017,deforestation,19.61872898093645
SDG,2017,fossil_fuel,0.40388502019425104
SDG,2017,prison,0.0
SDG,2017,tobacco,0.0
SDG,2017,weapons,0.0
SDG,2018,deforestation,14.548090290961806
SDG,2018,fossil_fuel,0.5802300116046003
SDG,2018,prison,0.0
SDG,2018,tobacco,0.0
SDG,2018,weapons,0.0
SDG,2019,deforestation,17.313187346263746
SDG,2019,fossil_fuel,1.1997750239955005
SDG,2019,prison,0.0
SDG,2019,tobacco,0.0
SDG,2019,weapons,0.0
SDG,2020,deforestation,16.802754663944906
SDG,2020,fossil_fuel,0.4101829917963401
SDG,2020,prison,0.0
SDG,2020,tobacco,0.0
SDG,2020,weapons,0.0
SDG,2021,deforestation,15.397409461922287
SDG,2021,fossil_fuel,0.6216770186503107
SDG,2021,prison,0.0
SDG,2021,tobacco,0.0
SDG,2021,weapons,0.0
SDG,2022,deforestation,19.711458591343757
SDG,2022,fossil_fuel,0.5518500165555006
SDG,2022,prison,0.0
SDG,2022,tobacco,0.0
SDG,2022,weapons,0.0
SDG,2023,deforestation,17.139042514171273
SDG,2023,fossil_fuel,0.4428360132850805
SDG,2023,prison,0.0
SDG,2023,tobacco,0.0
SDG,2023,weapons,0.0
SDG,2024,deforestation,17.40036
SDG,2024,fossil_fuel,0.47582500000000005
SDG,2024,prison,0.0
SDG,2024,tobacco,0.0
SDG,2024,weapons,0.0
SDG,2025,deforestation,10.841084108410842
SDG,2025,fossil_fuel,0.040004000400040006
SDG,2025,prison,0.0
SDG,2025,tobacco,0.0
SDG,2025,weapons,0.0
SUSA,2017,deforestation,8.729262
SUSA,2017,fossil_fuel,4.197636
SUSA,2017,prison,16.534229
SUSA,2017,tobacco,1.403489
SUSA,2017,weapons,1.314717
SUSA,2018,deforestation,6.895663068956631
SUSA,2018,fossil_fuel,4.030919040309191
SUSA,2018,prison,17.337710173377104
SUSA,2018,tobacco,0.5288460052884602
SUSA,2018,weapons,1.49746401497464
SUSA,2019,deforestation,9.83655429509663
SUSA,2019,fossil_fuel,5.811595174347855
SUSA,2019,prison,15.298029458940883
SUSA,2019,tobacco,0.6250350187510506
SUSA,2019,weapons,0.9629750288892508
SUSA,2020,deforestation,9.531583904684162
SUSA,2020,fossil_fuel,5.225566947744332
SUSA,2020,prison,17.128825828711744
SUSA,2020,tobacco,0.5305429946945701
SUSA,2020,weapons,0.6118039938819602
SUSA,2021,deforestation,8.667965346718612
SUSA,2021,fossil_fuel,4.916034196641368
SUSA,2021,prison,13.69723954788958
SUSA,2021,tobacco,0.677603027104121
SUSA,2021,weapons,0.6640690265627611
SUSA,2022,deforestation,9.97763930156525
SUSA,2022,fossil_fuel,3.93871072429025
SUSA,2022,prison,12.43880912928336
SUSA,2022,tobacco,0.6705709530600333
SUSA,2022,weapons,0.9189939356704243
SUSA,2023,deforestation,9.198036367921455
SUSA,2023,fossil_fuel,5.515662220626489
SUSA,2023,prison,12.74282950971318
SUSA,2023,tobacco,0.8382160335286413
SUSA,2023,weapons,0.8326230333049213
SUSA,2024,deforestation,10.53647268390582
SUSA,2024,fossil_fuel,4.9599998512000045
SUSA,2024,prison,12.762454617126362
SUSA,2024,tobacco,0.8653539740393807
SUSA,2024,weapons,0.5209299843721005
