year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,synchrony financial,SYF,Other,Other,0.00044181093903780726,1,7
2017,2025,national grid,NG.,Controversial,Controversial,0.000441609729901355,2,2
2017,2025,gea,G1A,Other,Other,0.0004311370819682506,1,3
2017,2025,paypal,PYPL,Other,Other,0.00042656258662036064,1,9
2017,2025,yamaha motor,7272,Controversial,Controversial,0.0004258992736202519,2,2
2017,2025,dexcom,DXCM,Other,Other,0.0004193492722305705,1,8
2017,2025,rexel,RXL,Other,Other,0.000418412566261555,2,3
2017,2025,tesco,TSCO,Other,Controversial,0.00041667100548430173,1,2
2017,2025,mitsubishi,8058,Other,Controversial,0.0004158368716682579,1,2
2017,2025,paychex,PAYX,Other,Other,0.0004124386067670034,1,7
2017,2025,ajinomoto,2802,Other,Other,0.000412127125835437,1,4
2017,2025,western digital,WDC,Other,Other,0.00041025294408929584,1,6
2017,2025,regeneron pharmaceuticals,REGN,Other,Other,0.00040791394458967453,1,9
2017,2025,legrand,LR,Other,Other,0.0004044432325191696,2,5
2017,2025,banco bilbao vizcaya argentaria,BBVA,Controversial,Controversial,0.0003986371197534068,2,3
2017,2025,stryker,SYK,Other,Other,0.00039456051733401267,1,4
2017,2025,emcor,EME,Other,Other,0.00039130855713053657,1,5
2017,2025,barclays,BARC,Controversial,Controversial,0.0003876204458787209,2,4
2017,2025,ing groep,INGA,Controversial,Controversial,0.0003866104588457816,2,5
2017,2025,sompo,8630,Other,Other,0.00038262377209807944,2,5
2017,2025,marubeni,8002,Other,Controversial,0.0003799320713427228,1,1
2017,2025,gold fields,GFI,Other,Other,0.00037263298735500593,1,1
2017,2025,chugai pharmaceutical,4519,Other,Other,0.0003721517490762953,2,6
2017,2025,metlife,MET,Other,Other,0.0003584142756530738,2,4
2017,2025,nomura research institute,4307,Other,Other,0.00035206223230041544,1,5
2017,2025,societe generale,GLE,Other,Other,0.0003501066507685464,2,4
2017,2025,sk,34730,Other,Controversial,0.00034204909875853084,1,1
2017,2025,kb financial,105560,Other,Other,0.00034148040276414237,2,3
2017,2025,cintas,CTAS,Other,Other,0.00034134630982693274,1,6
2017,2025,akamai technologies,AKAM,Other,Other,0.0003314879151198694,1,7
2017,2025,zimmer biomet,ZBH,Other,Other,0.00033078489888095164,1,7
