ETF_TICKER,year,pct_clean,pct_controversial,pct_other
PABD,2025,10.146233974358976,12.860576923076925,76.99318910256412
PABU,2022,19.91094060623416,24.719322269647442,55.369737124118394
PABU,2023,19.35858625772724,25.094293741513567,55.5471200007592
PABU,2024,18.184557,25.77109,56.044353
PABU,2025,19.147659063625447,24.409763905562222,56.44257703081232
SDG,2017,19.9357479967874,20.0226140011307,60.04163800208191
SDG,2018,20.19865640397313,15.128320302566406,64.67302329346047
SDG,2019,22.19480144389603,18.512962370259245,59.29223618584473
SDG,2020,30.90356038192879,17.212937655741246,51.88350196232995
SDG,2021,19.578386587351595,16.019086480572597,64.4025269320758
SDG,2022,16.395103491853103,20.26330860789926,63.34158790024763
SDG,2023,24.02278172068345,17.581878527456354,58.395339751860185
SDG,2024,28.73131,17.876185,53.392505
SDG,2025,28.172817281728175,10.88108810881088,60.94609460946094
SUSA,2017,14.293447,32.179333,53.52722
SUSA,2018,16.203062162030626,30.290602302906024,53.506335535063364
SUSA,2019,16.76150150284505,32.53418897602567,50.70430952112928
SUSA,2020,17.623263823767363,33.02832366971676,49.34841250651588
SUSA,2021,12.863663514546541,28.467487138699482,58.66884934675397
SUSA,2022,16.25146186239767,27.94472404386931,55.80381409373302
SUSA,2023,17.535023701400945,29.127367165094686,53.337609133504365
SUSA,2024,16.690080499297583,29.64521111064366,53.664708390058756
SUSA,2025,16.781678167816782,29.24292429242924,53.97539753975397
SUSL,2019,7.1228560712285605,38.51557138515572,54.36157254361573
SUSL,2020,10.820119406615522,39.77356417056334,49.406316422821135
SUSL,2021,9.085346818293063,38.61483622770327,52.29981695400365
SUSL,2022,10.418289,40.199919,49.381792000000004
SUSL,2023,8.599569656017215,39.21964543121418,52.180784912768615
SUSL,2024,7.563687226910618,38.57117515713526,53.86513761595413
SUSL,2025,8.379162083791622,37.7962203779622,53.82461753824617
USCL,2023,16.173652676526945,30.92060338158793,52.90574394188512
USCL,2024,13.790825413724765,35.14104705423141,51.068127532043825
USCL,2025,9.087273817854644,39.98800359892032,50.924722583225034
USXF,2020,8.963705268911157,32.81411798442354,58.2221767466653
USXF,2021,5.259871105197423,14.655062293101246,80.08506660170133
USXF,2022,7.591676151833522,27.41615954832319,64.9921642998433
USXF,2023,8.110959,23.89489,67.994151
USXF,2024,10.2525169747483,11.575516842448316,78.17196618280339
USXF,2025,11.332266453290659,11.222244448889777,77.44548909781956
XJH,2020,2.5363168731841563,6.6434326678283675,90.82025045898749
XJH,2021,1.097288,6.541454000000001,92.361258
XJH,2022,3.0703109078906725,11.04740866857774,85.88228042353158
XJH,2023,1.942665097133255,9.917936495896825,88.13939840696993
XJH,2024,1.6565260662610426,8.838320353532813,89.50515358020614
XJH,2025,1.5396920615876826,8.578284343131374,89.88202359528096
XVV,2020,13.843092276861848,35.966800719336014,50.19010700380214
XVV,2021,11.822090354662711,28.404932852147986,59.7729767931893
XVV,2022,16.460238176988096,34.87948425602579,48.660277566986124
XVV,2023,16.563203318848466,35.32188594506403,48.11491073608751
XVV,2024,14.347895995647278,35.66996050310276,49.98214350124995
XVV,2025,15.564669400820248,36.120836250875264,48.314494348304486
