ETF ticker,year,pct_controversial,pct_other,pct_clean,market_total_value_usd,Clean,Controversial,Other
ESGD,2021,19.18021195990833,74.32911232772275,5.9727041272282175,6694668587.0,399852747.0,1284051625.0,4976087734.0
ESGD,2022,23.23620646044926,68.9047167440416,7.382875168136292,6376261704.0,470751442.0,1481601334.0,4393545066.0
ESGD,2023,23.270391431980656,68.01144738750581,8.18663492238621,7260643178.0,594402350.0,1689580088.0,4938068515.0
ESGD,2024,23.822630337117822,67.1862072074832,8.685551624202489,7857945972.0,682505954.0,1871969421.0,5279455863.0
ESGD,2025,24.371666461027274,69.47753480598546,5.805493001003857,9596812876.42,557142299.86,2338903225.13,6667629006.48
ESGE,2017,3.5813169829858054,93.38588531653643,6.959930714702027,96812458.0,6738080.0,3467161.0,90409171.0
ESGE,2018,5.786275308090807,91.7478710310723,7.825233297029056,329752699.0,25803918.0,19080399.0,302541081.0
ESGE,2019,5.316056208545286,88.38474520495288,7.0857899857617594,672543077.0,47654990.0,35752768.0,594425485.0
ESGE,2020,4.234036173327726,87.19876219459749,8.694189517750475,3654480091.0,317727425.0,154732009.0,3186661404.0
ESGE,2021,4.761136792010369,86.19633980666629,9.666048902926011,7105443464.0,686815640.0,338299883.0,6124632193.0
ESGE,2022,7.02624641854601,83.59256756537059,9.71191614432668,4251524672.0,412904511.0,298722600.0,3553958634.0
ESGE,2023,7.109949499686399,82.6898365351608,10.657931322491708,4323754536.0,460822789.0,307416764.0,3575305558.0
ESGE,2024,8.362129141456565,79.94759742055659,11.893206501073209,4045464980.0,481135504.0,338287006.0,3234252056.0
ESGE,2025,5.902022415588432,80.81001573496307,13.621346791801997,5076162057.75,691441637.5999999,299596222.5,4102047357.6
ESGU,2017,23.089420969612867,66.87371497050931,10.172493364893986,10829518.0,1101632.0,2500473.0,7242101.0
ESGU,2018,30.281397077738177,59.512668071883915,10.62538532839224,98974020.0,10516371.0,29970716.0,58902080.0
ESGU,2019,31.117658613823203,59.24315934546803,9.870057200142806,295904506.0,29205944.0,92078554.0,175303178.0
ESGU,2020,29.708697733505687,55.71083364558851,13.961899753311451,8991145354.0,1255334701.0,2671152196.0,5009042031.0
ESGU,2021,20.500379116858486,68.09977196116505,10.860646622755686,22262630403.0,2417865617.0,4563923634.0,15160800537.0
ESGU,2022,24.192967964248844,61.60326903646881,15.025471097963388,22194428203.0,3334817395.0,5369490905.0,13672493317.0
ESGU,2023,23.982383765046137,61.31801943262248,14.970656440346007,12824827132.0,1919960809.0,3075699260.0,7863929993.0
ESGU,2024,25.334821481223155,60.8586132901787,14.129792931509071,13485685666.0,1905499460.0,3416574389.0,8207201289.0
ESGU,2025,33.40456866994917,52.09416775629949,14.501449003983467,13989919390.35,2028741026.09,4673272229.62,7287932076.18
ESML,2018,5.19870906185008,100.15527900375994,0.5524024919385896,11505741.0,63558.0,598150.0,11523607.0
ESML,2019,4.908334959138107,100.33596496932648,0.29855151633391863,57663750.0,172156.0,2830330.0,57857480.0
ESML,2020,5.115100398006715,97.58079213865726,0.9452410377243817,366339046.0,3462787.0,18738610.0,357476543.0
ESML,2021,3.8028208037958846,99.99982730356119,0.41299343365829955,1099038297.0,4538956.0,41794457.0,1099036399.0
ESML,2022,7.348801392480824,97.63751790697977,0.7739530226675031,1479097137.0,11447517.0,108695911.0,1444153732.0
ESML,2023,8.429561723343367,98.96186164766789,0.5338981403483174,1403577468.0,7493674.0,118315429.0,1389006392.0
ESML,2024,8.767656230842341,96.92111231407456,0.5920503071576378,1578937784.0,9348106.0,138435837.0,1530324063.0
ESML,2025,12.840594478058216,86.31751068531595,0.8412792646187308,1878348896.09,15802159.78,241191164.63,1621344009.09
ICLN,2017,0.0,109.22658816435197,5.051894168475557,112605427.0,5688707.0,0.0,122995066.0
ICLN,2018,5.666916771451559,98.4798738216342,13.845053004931183,165729203.0,22945296.0,9391736.0,163209910.0
