year,ETF_Ticker,screen_category,exposure_pct,aum_usd
2017,ESGU,Fossil Fuel,4.035322717040592,10829518.0
2018,ESGU,Fossil Fuel,5.489043488382102,98974020.0
2019,ESGU,Fossil Fuel,5.9155472948424785,295904506.0
2020,ESGU,Fossil Fuel,4.361507077911266,8991145354.0
2021,ESGU,Fossil Fuel,3.3521587723049797,22262630403.0
2022,ESGU,Fossil Fuel,4.6983990191693605,22194428203.0
2023,ESGU,Fossil Fuel,4.457027327672521,12824827132.0
2024,ESGU,Fossil Fuel,3.9443393252230057,13485685666.0
2025,ESGU,Fossil Fuel,5.45732142621659,13989919390.35
2018,ESML,Fossil Fuel,2.2033174569112934,11505741.0
2019,ESML,Fossil Fuel,2.225261104246602,57663750.0
2020,ESML,Fossil Fuel,2.000648055408213,366339046.0
2021,ESML,Fossil Fuel,1.7621137546219647,1099038297.0
2022,ESML,Fossil Fuel,4.076144662296104,1479097137.0
2023,ESML,Fossil Fuel,3.955084793367458,1403577468.0
2024,ESML,Fossil Fuel,3.687593494184189,1578937784.0
2025,ESML,Fossil Fuel,5.239476824293056,1878348896.09
2018,ICLN,Fossil Fuel,5.666916771451559,165729203.0
2019,ICLN,Fossil Fuel,5.509992237034347,360049255.0
2020,ICLN,Fossil Fuel,3.230986068677023,1541917450.0
2021,ICLN,Fossil Fuel,6.4537825184562045,5855954348.0
2022,ICLN,Fossil Fuel,5.677307968358773,4983595510.0
2023,ICLN,Fossil Fuel,5.610884171917663,4573104098.0
2024,ICLN,Fossil Fuel,8.49338840674426,2165452705.0
2025,ICLN,Fossil Fuel,18.043352303828556,1457155418.31
2021,LCTD,Fossil Fuel,3.96256659818499,605599462.0
2022,LCTD,Fossil Fuel,7.480498059572754,442314960.0
2023,LCTD,Fossil Fuel,7.497594526192821,576261731.0
2024,LCTD,Fossil Fuel,7.97810852164222,344953405.0
2025,LCTD,Fossil Fuel,5.251218813824232,234070256.94
2021,LCTU,Fossil Fuel,2.545427210584017,1423888880.0
2022,LCTU,Fossil Fuel,5.899934157113457,1409350423.0
2023,LCTU,Fossil Fuel,6.108422471618764,1683978711.0
2024,LCTU,Fossil Fuel,6.268527475115144,1356576171.0
2025,LCTU,Fossil Fuel,7.1464853906715415,1305135788.31
2024,PABD,Fossil Fuel,1.242485486714824,6204660.0
2025,PABD,Fossil Fuel,0.643261996546323,208173774.79
2023,PABU,Fossil Fuel,1.1076226956799968,1489773825.0
2024,PABU,Fossil Fuel,1.1605548767978495,1776067415.0
